,Private Sector,Government Sector,Entrepreneurship
1,https://www.udemy.com/share/101Wci/,https://www.vajiraoiasacademy.com/online-admission,https://www.udemy.com/course/the-best-startup-investor-pitch-deck/
2,https://www.udemy.com/share/101W8S/,https://www.drishtiias.com/online-classes/uppcs-foundation-course,https://www.udemy.com/course/record-and-sell-your-own-voiceovers-on-fiverr/
3,https://developer.android.com/courses/jetpack-compose/course,https://unacademy.com/goal/upsc-civil-services-examination-ias-preparation/KSCGY,https://imarticus.org/certified-investment-banking-operations-program/?utm_source=google&utm_medium=cpc&utm_campaign=11233283741&utm_campaignname=Jaipur%20-%20CIBOP%20-%20MOTF&utm_term=financial%20modelling%20course%20online&utm_adgroup=Financial%20Modelling%20-%20BMM&utm_campaigntype=search&gad_source=1&gclid=CjwKCAiA6byqBhAWEiwAnGCA4BmlUvjrI68HAB9oG5XxUmnEa-quJb6gVnTttFDOkKzlu9sX2gB7pxoC3QcQAvD_BwE
4,https://www.udemy.com/course/xamarin-forms-course/,https://www.pw.live/online-course-physics-wallah-govt-job-exams-banking,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
5,https://www.upgrad.com/bootcamps/ui-ux-design-course?utm_source=GOOGLE&utm_medium=NBSEARCH&utm_campaign=IND_ACQ_WEB_GOOGLE_NBSEARCH_BU_UPG_UIUX_Exact_KH_WD&utm_content=Web-Design-Development-Course&utm_term=web%20design%20development%20course&gad_source=1&gclid=CjwKCAiA6byqBhAWEiwAnGCA4OaOSR0uO9Rzi4jbXo6QIS7zGnN-VJ4yvTgaJuhT5HZDZNmwyKmB4BoCbk0QAvD_BwE,https://testbook.com/bank-exams-coaching,https://www.udemy.com/course/learn-how-to-value-a-company-and-build-a-dcf-model/
6,https://www.coursera.org/professional-certificates/meta-front-end-developer?utm_source=gg&utm_medium=sem&utm_campaign=B2C_INDIA_meta-front-end-developer_meta_FTCOF_professional-certificates_facebook-meta-arte-agency&utm_content=B2C&campaignid=20672771440&adgroupid=149910954210&device=c&keyword=web%20designer%20certificate&matchtype=b&network=g&devicemodel=&adpostion=&creativeid=677315075889&hide_mobile_promo&gclid=CjwKCAiA6byqBhAWEiwAnGCA4HgWvfGvnS85VMhYcl7VwE4TXXDBLw3EET7AnMsolOsZhze6Gk3mrRoCWSUQAvD_BwE,https://www.pw.live/online-course-physics-wallah-defence-cds,https://pll.harvard.edu/course/entrepreneurship-in-emerging-economies
7,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://unacademy.com/goal/cdsafcatcapf/TUNWK/classes,https://pll.harvard.edu/course/technology-entrepreneurship-lab-market
8,https://www.upgrad.com/data-science-pgd-iiitb/?utm_source=GOOGLE&utm_medium=NBSEARCH&utm_campaign=IND_ACQ_WEB_GOOGLE_NBSEARCH_DV_IIITB_PGDS_HIT_T1_18to24&utm_content=Courses&utm_term=top%20data%20analytics%20courses&gclid=CjwKCAiA6byqBhAWEiwAnGCA4A8A7Hg9IJE41FSkB8cabB220ANBeoYrgYqoN9FkoMO4bgMg2TK-JhoCNwUQAvD_BwE,https://unacademy.com/goal/services-selection-board-ssb/GUVHW/classes,https://pll.harvard.edu/course/core/2024-01
9,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,https://www.pw.live/online-course-physics-wallah-govt-job-exams-ssc,https://www.linkedin.com/learning/paths/digital-transformation-in-practice-virtual-collaboration-tools?u=104
10,https://www.udemy.com/course/artificial-intelligence-az/?utm_source=adwords&utm_medium=udemyads&utm_campaign=LongTail_la.EN_cc.INDIA&utm_content=deal4584&utm_term=_._ag_80573534313_._ad_670145378299_._kw_artificial+intelligence_._de_c_._dm__._pl__._ti_aud-1738475842996%3Akwd-10592891_._li_1007805_._pd__._&matchtype=b&gad_source=1&gclid=CjwKCAiA6byqBhAWEiwAnGCA4Ij3pfYmDuDd_2hwOmWg6_pSXcUcjdi6UYSOvsHJ6M2Mx3FFkJdTqxoCc-4QAvD_BwE,https://testbook.com/ssc-coaching,https://academy.hubspot.com/courses/inbound-sales?library=true
